 ,Area,IntDen,Median,RawIntDen
1630,4,4726.000,1218,4726.000
1631,6,7175.000,1327,7175.000
1632,8,9301.000,1122,9301.000
1633,9,10658.000,1270,10658.000
1634,5,5880.000,1188,5880.000
1635,9,9831.000,1086,9831.000
1636,4,5040.000,1260,5040.000
1637,10,11893.000,1167,11893.000
1638,6,5743.000,1005,5743.000
1639,2,1755.000,927,1755.000
1640,7,9055.000,1422,9055.000
1641,10,12079.000,1395,12079.000
1642,6,7254.000,1167,7254.000
1643,6,7704.000,1307,7704.000
1644,7,8279.000,1285,8279.000
1645,5,4939.000,958,4939.000
1646,4,4252.000,1110,4252.000
1647,6,6953.000,1260,6953.000
1648,4,5257.000,1485,5257.000
1649,6,6425.000,998,6425.000
1650,7,7446.000,1072,7446.000
1651,5,5761.000,1236,5761.000
1652,6,5571.000,911,5571.000
1653,21,29397.000,1602,29397.000
1654,2,1764.000,944,1764.000
1655,10,12856.000,1380,12856.000
1656,7,7843.000,1260,7843.000
1657,8,7399.000,869,7399.000
1658,11,13291.000,1252,13291.000
1659,6,7089.000,1236,7089.000
1660,6,6423.000,1027,6423.000
1661,9,10938.000,1189,10938.000
1662,7,7851.000,1260,7851.000
1663,21,29299.000,1524,29299.000
1664,4,4258.000,1086,4258.000
1665,8,9644.000,1111,9644.000
1666,5,4675.000,881,4675.000
1667,7,6730.000,942,6730.000
1668,7,7615.000,1019,7615.000
1669,11,13935.000,1182,13935.000
1670,7,8577.000,1243,8577.000
1671,9,9968.000,1238,9968.000
1672,8,9572.000,1236,9572.000
1673,6,6727.000,1199,6727.000
1674,4,4570.000,1172,4570.000
1675,4,5807.000,1524,5807.000
1676,5,5965.000,1266,5965.000
1677,3,2815.000,915,2815.000
1678,6,6589.000,1260,6589.000
1679,5,4386.000,880,4386.000
1680,3,2759.000,874,2759.000
1681,4,5005.000,1307,5005.000
1682,6,7472.000,1311,7472.000
1683,9,12232.000,1327,12232.000
1684,5,6171.000,1354,6171.000
1685,4,5473.000,1391,5473.000
1686,5,6066.000,1310,6066.000
